Time_Step,Adj Close,Close,High,Low,Open,Volume,Day_of_Week,Month,MA_30,Target_Close,Price_Movement
117,15.069999694824219,15.069999694824219,15.526000022888184,15.011333465576172,15.359333038330078,58678500.0,3,4,13.975733280181885,15.0686674118042,-0.0013322830200195312
118,15.0686674118042,15.0686674118042,15.451333045959473,14.694000244140625,15.329333305358887,79225500.0,4,5,14.061155541737874,15.0686674118042,0.0
119,15.0686674118042,15.0686674118042,15.451333045959473,14.694000244140625,15.329333305358887,79225500.0,5,5,14.139000034332275,15.0686674118042,0.0
120,15.0686674118042,15.0686674118042,15.451333045959473,14.694000244140625,15.329333305358887,79225500.0,6,5,14.216844526926677,15.36733341217041,0.29866600036621094
121,15.36733341217041,15.36733341217041,15.648667335510254,15.140666961669922,15.211999893188477,66519000.0,0,5,14.304644552866618,15.529999732971191,0.16266632080078125
122,15.529999732971191,15.529999732971191,15.966667175292969,15.275333404541016,15.850666999816895,86953500.0,1,5,14.397866789499918,15.362000465393066,-0.167999267578125
123,15.362000465393066,15.362000465393066,15.631333351135254,15.213333129882812,15.606666564941406,79063500.0,2,5,14.45860013961792,15.786666870117188,0.4246664047241211
124,15.786666870117188,15.786666870117188,15.831999778747559,14.683333396911621,14.733332633972168,141838500.0,3,5,14.533155695597332,15.77400016784668,-0.012666702270507812
125,15.77400016784668,15.77400016784668,15.894000053405762,15.579999923706055,15.732666969299316,70023000.0,4,5,14.597466786702475,15.77400016784668,0.0
126,15.77400016784668,15.77400016784668,15.894000053405762,15.579999923706055,15.732666969299316,70023000.0,5,5,14.656400140126546,15.77400016784668,0.0
127,15.77400016784668,15.77400016784668,15.894000053405762,15.579999923706055,15.732666969299316,70023000.0,6,5,14.713533465067545,15.965999603271484,0.1919994354248047
128,15.965999603271484,15.965999603271484,16.191999435424805,15.687333106994629,15.752667427062988,85084500.0,0,5,14.777066771189372,16.31599998474121,0.35000038146972656
129,16.31599998474121,16.31599998474121,16.42333221435547,15.879332542419434,16.007333755493164,95451000.0,1,5,14.852266756693522,16.211999893188477,-0.10400009155273438
130,16.211999893188477,16.211999893188477,16.553333282470703,16.149999618530273,16.507333755493164,81603000.0,2,5,14.926488971710205,16.273332595825195,0.06133270263671875
131,16.273332595825195,16.273332595825195,16.326000213623047,16.083332061767578,16.321332931518555,43438500.0,3,5,15.007911173502604,16.589332580566406,0.31599998474121094
132,16.589332580566406,16.589332580566406,16.626667022705078,16.166667938232422,16.261999130249023,67914000.0,4,5,15.099044481913248,16.589332580566406,0.0
133,16.589332580566406,16.589332580566406,16.626667022705078,16.166667938232422,16.261999130249023,67914000.0,5,5,15.192688910166423,16.589332580566406,0.0
134,16.589332580566406,16.589332580566406,16.626667022705078,16.166667938232422,16.261999130249023,67914000.0,6,5,15.286133321126302,16.583332061767578,-0.006000518798828125
135,16.583332061767578,16.583332061767578,16.65999984741211,16.399999618530273,16.46666717529297,50298000.0,0,5,15.379377714792888,16.47599983215332,-0.10733222961425781
136,16.47599983215332,16.47599983215332,16.733333587646484,16.40999984741211,16.562000274658203,55113000.0,1,5,15.46904436747233,16.290000915527344,-0.18599891662597656
137,16.290000915527344,16.290000915527344,16.516000747680664,16.091333389282227,16.475332260131836,56334000.0,2,5,15.555888843536376,16.374666213989258,0.08466529846191406
138,16.374666213989258,16.374666213989258,16.441333770751953,16.157333374023438,16.20199966430664,29559000.0,3,5,15.63635549545288,16.51533317565918,0.14066696166992188
139,16.51533317565918,16.51533317565918,16.573333740234375,16.333999633789062,16.358667373657227,33346500.0,4,5,15.699222183227539,16.51533317565918,0.0
